id,student_id,date,roll,status,department,semester,subject
1,1,5/30/2019,1,Green,Engineering,Project Manager,Timmiaceae
2,2,9/8/2018,2,Khaki,Marketing,Account Representative IV,Cyperaceae
3,3,3/18/2019,3,Goldenrod,Training,Community Outreach Specialist,Myrsinaceae
4,4,6/2/2019,4,Violet,Support,Senior Quality Engineer,Malvaceae
5,5,10/1/2018,5,Khaki,Business Development,Human Resources Manager,Asteraceae
6,6,2/16/2019,6,Fuscia,Marketing,Senior Cost Accountant,Rosaceae
7,7,7/21/2018,7,Crimson,Marketing,Database Administrator III,Sapindaceae
8,8,11/24/2018,8,Orange,Legal,Programmer II,Fabaceae
9,9,8/15/2018,9,Red,Marketing,Senior Sales Associate,Asteraceae
10,10,11/30/2018,10,Turquoise,Business Development,Internal Auditor,Pertusariaceae
11,11,4/25/2019,11,Crimson,Support,Account Representative II,Verrucariaceae
12,12,12/28/2018,12,Violet,Human Resources,Administrative Assistant I,Scrophulariaceae
13,13,11/8/2018,13,Blue,Training,Graphic Designer,Ranunculaceae
14,14,10/31/2018,14,Yellow,Engineering,Staff Scientist,Asteraceae
15,15,5/9/2019,15,Mauv,Human Resources,Help Desk Technician,Parmeliaceae
16,16,11/25/2018,16,Green,Human Resources,Account Coordinator,Blechnaceae
17,17,8/31/2018,17,Indigo,Research and Development,Dental Hygienist,Polemoniaceae
18,18,4/13/2019,18,Pink,Human Resources,Social Worker,Commelinaceae
19,19,4/18/2019,19,Teal,Business Development,Senior Editor,Viscaceae
20,20,2/22/2019,20,Indigo,Services,VP Sales,Fabaceae
21,21,5/27/2019,21,Khaki,Marketing,Software Test Engineer II,Thelypteridaceae
22,22,8/20/2018,22,Indigo,Support,VP Sales,Asteraceae
23,23,7/19/2018,23,Puce,Training,Software Engineer II,Proteaceae
24,24,9/22/2018,24,Aquamarine,Legal,Human Resources Assistant I,Uncertain Ascomycota Family
25,25,4/25/2019,25,Fuscia,Marketing,Administrative Officer,Papaveraceae
26,26,1/3/2019,26,Teal,Sales,Cost Accountant,Bartramiaceae
27,27,10/26/2018,27,Maroon,Business Development,Product Engineer,Solanaceae
28,28,9/10/2018,28,Blue,Support,Nurse Practicioner,Scrophulariaceae
29,29,7/7/2018,29,Teal,Human Resources,Marketing Assistant,Fabaceae
30,30,12/22/2018,30,Aquamarine,Services,Sales Representative,Brassicaceae
31,31,5/27/2019,31,Mauv,Support,Accounting Assistant II,Cactaceae
32,32,1/10/2019,32,Purple,Support,Recruiting Manager,Cyperaceae
33,33,3/13/2019,33,Yellow,Sales,VP Marketing,Amblystegiaceae
34,34,9/21/2018,34,Yellow,Services,Administrative Assistant IV,Asclepiadaceae
35,35,12/19/2018,35,Puce,Training,Quality Control Specialist,Celastraceae
36,36,6/6/2019,36,Turquoise,Sales,Safety Technician I,Chenopodiaceae
37,37,4/6/2019,37,Goldenrod,Legal,Budget/Accounting Analyst III,Verrucariaceae
38,38,8/31/2018,38,Maroon,Engineering,Analyst Programmer,Brachytheciaceae
39,39,2/2/2019,39,Mauv,Support,Clinical Specialist,Arecaceae
40,40,1/9/2019,40,Red,Accounting,Quality Engineer,Asteraceae
41,41,11/18/2018,41,Yellow,Research and Development,Statistician I,Papaveraceae
42,42,7/25/2018,42,Khaki,Engineering,Human Resources Manager,Myrtaceae
43,43,4/29/2019,43,Crimson,Product Management,Recruiting Manager,Cyperaceae
44,44,11/15/2018,44,Mauv,Services,Product Engineer,Poaceae
45,45,3/24/2019,45,Yellow,Human Resources,Software Consultant,Asteraceae
46,46,8/9/2018,46,Pink,Sales,Account Coordinator,Asclepiadaceae
47,47,3/12/2019,47,Crimson,Support,Financial Analyst,Fabaceae
48,48,8/27/2018,48,Indigo,Product Management,Developer IV,Dryopteridaceae
49,49,1/1/2019,49,Red,Marketing,Technical Writer,Celastraceae
50,50,6/14/2019,50,Blue,Services,Occupational Therapist,Cactaceae
51,51,6/20/2019,51,Goldenrod,Product Management,Software Test Engineer III,Mniaceae
52,52,12/25/2018,52,Blue,Research and Development,Dental Hygienist,Rosaceae
53,53,9/25/2018,53,Orange,Human Resources,Marketing Manager,Polygonaceae
54,54,4/17/2019,54,Crimson,Marketing,Senior Cost Accountant,Asteraceae
55,55,1/30/2019,55,Orange,Support,Quality Control Specialist,Ranunculaceae
56,56,8/16/2018,56,Fuscia,Engineering,Associate Professor,Asteraceae
57,57,4/3/2019,57,Purple,Support,VP Product Management,Aizoaceae
58,58,12/8/2018,58,Purple,Sales,Professor,Pteridaceae
59,59,12/6/2018,59,Maroon,Training,Structural Engineer,Rosaceae
60,60,7/3/2018,60,Teal,Training,Computer Systems Analyst I,Nelumbonaceae
61,61,2/21/2019,61,Purple,Legal,Senior Cost Accountant,Cactaceae
62,62,2/5/2019,62,Maroon,Support,Senior Cost Accountant,Fabaceae
63,63,5/22/2019,63,Violet,Legal,Research Nurse,Sapindaceae
64,64,5/9/2019,64,Purple,Sales,Nurse Practicioner,Phlyctidaceae
65,65,10/30/2018,65,Fuscia,Training,Computer Systems Analyst II,Fabaceae
66,66,4/21/2019,66,Red,Human Resources,Paralegal,Polygonaceae
67,67,2/3/2019,67,Indigo,Research and Development,Media Manager II,Scrophulariaceae
68,68,10/28/2018,68,Maroon,Services,Administrative Officer,Asteraceae
69,69,3/6/2019,69,Yellow,Human Resources,VP Product Management,Lamiaceae
70,70,7/13/2018,70,Maroon,Training,Environmental Tech,Poaceae
71,71,7/21/2018,71,Goldenrod,Sales,Associate Professor,Ericaceae
72,72,1/9/2019,72,Turquoise,Support,Director of Sales,Fabaceae
73,73,11/5/2018,73,Crimson,Training,Sales Associate,Scrophulariaceae
74,74,6/17/2019,74,Fuscia,Sales,Tax Accountant,Polemoniaceae
75,75,3/30/2019,75,Khaki,Legal,Budget/Accounting Analyst I,Onagraceae
76,76,7/12/2018,76,Khaki,Product Management,Sales Representative,Teloschistaceae
77,77,3/10/2019,77,Blue,Research and Development,Civil Engineer,Salicaceae
78,78,5/12/2019,78,Red,Business Development,Civil Engineer,Cyperaceae
79,79,2/14/2019,79,Puce,Business Development,Social Worker,Micareaceae
80,80,4/23/2019,80,Turquoise,Training,Web Developer II,Poaceae
81,81,5/13/2019,81,Aquamarine,Engineering,Senior Developer,Bignoniaceae
82,82,12/14/2018,82,Violet,Business Development,Nurse Practicioner,Brassicaceae
83,83,3/27/2019,83,Green,Training,Staff Accountant III,Grammitidaceae
84,84,11/24/2018,84,Purple,Accounting,Help Desk Operator,Scrophulariaceae
85,85,12/31/2018,85,Fuscia,Product Management,Nurse,Polytrichaceae
86,86,12/9/2018,86,Red,Business Development,Health Coach IV,Cucurbitaceae
87,87,1/19/2019,87,Pink,Support,Staff Scientist,Hydrophyllaceae
88,88,10/26/2018,88,Khaki,Services,Automation Specialist III,Cyperaceae
89,89,3/13/2019,89,Purple,Marketing,Speech Pathologist,Portulacaceae
90,90,7/29/2018,90,Teal,Business Development,Media Manager I,Uncertain Ascomycota Family
91,91,1/22/2019,91,Fuscia,Support,Environmental Specialist,Commelinaceae
92,92,12/27/2018,92,Violet,Services,Sales Associate,Rubiaceae
93,93,6/26/2019,93,Mauv,Human Resources,Statistician II,Brassicaceae
94,94,8/30/2018,94,Orange,Support,Environmental Tech,Orchidaceae
95,95,5/6/2019,95,Pink,Human Resources,Professor,Caryophyllaceae
96,96,6/12/2019,96,Yellow,Support,Librarian,Brassicaceae
97,97,1/16/2019,97,Red,Marketing,Biostatistician IV,Caprifoliaceae
98,98,7/21/2018,98,Green,Business Development,Web Developer III,Anthocerotaceae
99,99,8/24/2018,99,Turquoise,Legal,Tax Accountant,Pinaceae
100,100,4/30/2019,100,Mauv,Business Development,Information Systems Manager,Cladoniaceae
